ticker,sector
NVDA,Technology
MSFT,Technology
AAPL,Technology
AMZN,Consumer Cyclical
META,Communication Services
AVGO,Technology
GOOGL,Communication Services
GOOG,Communication Services
TSLA,Consumer Cyclical
BRK.B,Financial Services
ORCL,Technology
WMT,Consumer Defensive
JPM,Financial Services
LLY,Healthcare
V,Financial Services
NFLX,Communication Services
MA,Financial Services
XOM,Energy
JNJ,Healthcare
PLTR,Technology
COST,Consumer Defensive
ABBV,Healthcare
BAC,Financial Services
HD,Consumer Cyclical
AMD,Technology
PG,Consumer Defensive
UNH,Healthcare
GE,Industrials
CVX,Energy
KO,Consumer Defensive
CSCO,Technology
WFC,Financial Services
MS,Financial Services
IBM,Technology
TMUS,Communication Services
CAT,Industrials
PM,Consumer Defensive
GS,Financial Services
AXP,Financial Services
CRM,Technology
ABT,Healthcare
MCD,Consumer Cyclical
MU,Technology
LIN,Basic Materials
RTX,Industrials
MRK,Healthcare
PEP,Consumer Defensive
APP,Communication Services
DIS,Communication Services
UBER,Technology
TMO,Healthcare
NOW,Technology
BLK,Financial Services
T,Communication Services
C,Financial Services
INTU,Technology
LRCX,Technology
AMAT,Technology
ANET,Technology
QCOM,Technology
GEV,Industrials
NEE,Utilities
INTC,Technology
SCHW,Financial Services
BKNG,Consumer Cyclical
VZ,Communication Services
BA,Industrials
TJX,Consumer Cyclical
TXN,Technology
AMGN,Healthcare
ISRG,Healthcare
APH,Technology
ACN,Technology
SPGI,Financial Services
DHR,Healthcare
ETN,Industrials
GILD,Healthcare
BSX,Healthcare
SYK,Healthcare
PANW,Technology
ADBE,Technology
PFE,Healthcare
KLAC,Technology
COF,Financial Services
LOW,Consumer Cyclical
UNP,Industrials
PGR,Financial Services
HON,Industrials
BX,Financial Services
CRWD,Technology
MDT,Healthcare
CEG,Utilities
HOOD,Financial Services
DE,Industrials
LMT,Industrials
ADP,Technology
DASH,Consumer Cyclical
ADI,Technology
KKR,Financial Services
WELL,Real Estate
CB,Financial Services
COP,Energy
CMCSA,Communication Services
SO,Utilities
MO,Consumer Defensive
PLD,Real Estate
VRTX,Healthcare
DELL,Technology
MMC,Financial Services
NKE,Consumer Cyclical
NEM,Basic Materials
CVS,Healthcare
DUK,Utilities
HCA,Healthcare
MCK,Healthcare
CME,Financial Services
TT,Industrials
PH,Industrials
SBUX,Consumer Cyclical
ICE,Financial Services
GD,Industrials
CDNS,Technology
NOC,Industrials
COIN,Financial Services
BMY,Healthcare
WM,Industrials
ORLY,Consumer Cyclical
MCO,Financial Services
AMT,Real Estate
RCL,Consumer Cyclical
SHW,Basic Materials
SNPS,Technology
MMM,Industrials
CI,Healthcare
MDLZ,Consumer Defensive
EQIX,Real Estate
ELV,Healthcare
HWM,Industrials
AON,Financial Services
AJG,Financial Services
ECL,Basic Materials
MSI,Technology
WMB,Energy
BK,Financial Services
ABNB,Consumer Cyclical
CTAS,Industrials
APO,Financial Services
USB,Financial Services
TDG,Industrials
GLW,Technology
EMR,Industrials
MAR,Consumer Cyclical
ITW,Industrials
PNC,Financial Services
UPS,Industrials
JCI,Industrials
VST,Utilities
RSG,Industrials
AZO,Consumer Cyclical
CSX,Industrials
FI,Technology
MNST,Consumer Defensive
PYPL,Financial Services
NSC,Industrials
ADSK,Technology
TEL,Technology
PWR,Industrials
URI,Industrials
FTNT,Technology
ZTS,Healthcare
HLT,Consumer Cyclical
WDAY,Technology
AEP,Utilities
CL,Consumer Defensive
TRV,Financial Services
COR,Healthcare
FCX,Basic Materials
KMI,Energy
REGN,Healthcare
SRE,Utilities
EOG,Energy
AFL,Financial Services
DLR,Real Estate
APD,Basic Materials
CMI,Industrials
SPG,Real Estate
TFC,Financial Services
CMG,Consumer Cyclical
DDOG,Technology
MPC,Energy
AXON,Industrials
FDX,Industrials
LHX,Industrials
ROP,Technology
NXPI,Technology
MET,Financial Services
GM,Consumer Cyclical
ALL,Financial Services
BDX,Healthcare
O,Real Estate
PSX,Energy
PSA,Real Estate
D,Utilities
NDAQ,Financial Services
